triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
20031_20045_11667,11667,0.0,1.1710798641114357,0.19657260247646718,0.8034273975235329,0.007960172730894936,0.012664686891272188,-4691.878262056538,-4548.287601926488,676
20031_Amaapr1_30000,20031,0.0,26.831778889878773,0.9863013697015309,0.013698630298469017,0.0034087680274713693,0.004661690073972603,-658.660203369926,-633.492614646406,73
20031_Amaapr1_30000,Amaapr1,0.0,10.898620366660312,0.9011896085796034,0.09881039142039658,0.008697486627754417,0.016936458139166666,-790.5275017709586,-734.0013148923105,120
20031_Amaapr1_30000,30000,0.0,1.0249494816502644,0.553473099354461,0.446526900645539,0.004127832713460164,0.005408890981372549,-4299.206473748271,-4297.871014639999,510
20031_Amaapr1_30021,20031,0.0,18.253301810891035,0.9466207039858163,0.053379296014184,0.0033976921349646244,0.006460753287999999,-652.976978070987,-601.9839158769058,75
20031_Amaapr1_30021,Amaapr1,0.0,8.882815541231563,0.932862429831811,0.067137570168189,0.00974833931854835,0.01509489921090909,-719.3312170598161,-697.8471660569796,110
20031_Amaapr1_30021,30021,0.0,0.8742618898562817,0.5234596720210029,0.47654032797899715,0.004551691027792784,0.005802666173359073,-4300.138491309246,-4292.56756690007,518
20031_Amaapr1_11667,20031,0.0,12.205950590767603,0.9749790118508816,0.025020988149118406,0.004729414523737613,0.0061725681625,-326.5144377318747,-323.32234405577026,40
20031_Amaapr1_11667,Amaapr1,0.0,5.123414291728204,0.8164376274761416,0.1835623725238584,0.017737808193009793,0.03321860265614034,-268.1222282134712,-270.0865059796235,57
20031_Amaapr1_11667,11667,0.0,1.3182124373839983,0.21637041500688048,0.7836295849931196,0.006538938456009317,0.010832165266171617,-4388.4553358775365,-4266.17831053673,606
20031_30000_30021,20031,0.0,11.15705685217379,0.9669977244208526,0.03300227557914735,0.002700035537968124,0.0035752943667938923,-2467.305314858696,-2422.494524808985,262
20031_30000_30021,30000,0.0,24.25636089822205,0.9846956776837423,0.015304322316257528,0.002915375488381004,0.003943742384771573,-1855.0169239730644,-1781.7531103505794,197
20031_30000_30021,30021,0.0,26.181866654195538,0.9671981209780866,0.032801879021913456,0.0032282801343522854,0.00572172127295082,-2213.0815404235823,-2026.2838031174313,244
20031_30000_11667,20031,0.0,8.891743796097726,0.8876779953372466,0.11232200466275344,0.00417846047434537,0.00791301413015873,-498.4293215078817,-479.6019263737089,63
20031_30000_11667,30000,0.0,16.18886959975287,0.9628149077171485,0.03718509228285154,0.010841071621373682,0.01716029468035714,-362.2687105155607,-339.2722337154003,56
20031_30000_11667,11667,0.0,0.9588108647858365,0.2918178765725113,0.7081821234274888,0.005915056043161118,0.008400083695547945,-4473.831418641687,-4408.101994827668,584
20031_30021_11667,20031,0.0,4.543804469891441,0.8526542886042588,0.1473457113957411,0.004151785167034424,0.006891585139130435,-536.7936311100583,-544.654567117617,69
20031_30021_11667,30021,0.0,12.226963870090428,0.9382744852059772,0.06172551479402273,0.01242795853611009,0.020555659596923074,-392.426398013949,-370.82607880162243,65
20031_30021_11667,11667,0.0,1.1046946891739824,0.29483183256243284,0.7051681674375672,0.005499211736540931,0.008192631826186292,-4390.387834165743,-4323.199977933601,569
20045_Amaapr1_30000,20045,0.0,18.10473629685609,0.9753083973056903,0.024691602694309592,0.004014402574458979,0.005808963081481481,-697.1831100454159,-667.6387684988193,81
20045_Amaapr1_30000,Amaapr1,0.0,10.632055307501119,0.9264591133925173,0.07354088660748265,0.009814311248586309,0.016492138601754386,-738.0253310301325,-703.1744944297169,114
20045_Amaapr1_30000,30000,0.0,1.1153613139343297,0.459478474567977,0.540521525432023,0.0037914261030654543,0.0052990051645669285,-4316.873095152491,-4301.84947828739,508
20045_Amaapr1_30021,20045,0.0,22.779217539195788,0.9390264521734845,0.06097354782651549,0.0035673196351093317,0.007843640959756098,-702.4815418464196,-626.6738324165821,82
20045_Amaapr1_30021,Amaapr1,0.0,8.99103606483209,0.9410033620961685,0.058996637903831674,0.009631003521240702,0.014311606711214954,-707.4622960430725,-690.1176355059548,107
20045_Amaapr1_30021,30021,0.0,0.9539152298463196,0.4639072696115828,0.5360927303884172,0.0043337944197263945,0.0057734255424124505,-4280.1964039686145,-4264.573181235179,514
20045_Amaapr1_11667,20045,0.0,3.1495828265928116,0.9006993091157005,0.09930069088429946,0.0047716795612128765,0.006676999924999999,-307.14525825486663,-317.0380409730057,40
20045_Amaapr1_11667,Amaapr1,0.0,4.956907512317883,0.8333754928918493,0.16662450710815074,0.019756995618061386,0.03503968919824561,-259.1505236455655,-264.00217137893134,57
